id,name,brand,category,price,description,stock,rating
SP0001,Maxi Phone v95346,TechCo,smartphone,774.39,Smartphone with advanced camera system.,157,4.2
SP0002,Mobile Z v19666,TechCo,smartphone,700.92,Smartphone with 5G connectivity.,66,4.5
LP0003,Business Mate v70131,UltraComp,laptop,460.92,13.3 inch laptop featuring long battery life.,132,4.2
TV0004,SmartView TV v11891,ViewTech,smart_tv,1995.69,65 inch smart TV with sleek design.,54,3.8
SPK0005,BoomBox v73341,AudioMax,speaker,288.79,Speaker delivering compact design.,178,3.2
LP0006,Ultra Thin v6890,NextGen,laptop,351.17,13.3 inch laptop featuring lightweight design.,185,4.5
TV0007,Ultra TV v73604,ViewTech,smart_tv,1245.19,40 inch smart TV with smart connectivity.,43,4.0
SPK0008,SoundWave v18581,AudioMax,speaker,73.37,Speaker delivering wireless connectivity.,188,4.5
SPK0009,Audio Pro v93603,BassLine,speaker,189.92,Speaker delivering wireless connectivity.,70,5.0
LP0010,Pro Book v662,UltraComp,laptop,672.5,14 inch laptop featuring high performance graphics.,0,4.0
LP0011,Econo Note v69679,NextGen,laptop,1752.15,14 inch laptop featuring high performance graphics.,60,3.8
LP0012,Pro Book v56621,TechCo,laptop,923.77,13.3 inch laptop featuring latest processor.,63,3.5
LP0013,Pro Book v52003,NextGen,laptop,1662.81,14 inch laptop featuring high performance graphics.,195,4.0
LP0014,Performance Pro v35805,TechCo,laptop,1943.9,17 inch laptop featuring latest processor.,127,0.0
LP0015,Ultra Thin v2830,UltraComp,laptop,521.53,17 inch laptop featuring long battery life.,116,3.0
SP0016,SmartPhone Y v89021,RivalTech,smartphone,508.31,Smartphone with advanced camera system.,135,3.8
TV0017,Infinity TV v44524,ViewTech,smart_tv,2172.84,75 inch smart TV with smart connectivity.,73,0.0
LP0018,Business Mate v83270,EconCo,laptop,1123.44,14 inch laptop featuring long battery life.,23,4.0
TV0019,Cinema TV v41345,CinemaCo,smart_tv,1541.38,55 inch smart TV with smart connectivity.,65,3.8
TV0020,Ultra TV v16927,ViewTech,smart_tv,1357.93,55 inch smart TV with HDR support.,190,3.8
SPK0021,Bass Boost v77162,BassLine,speaker,177.05,Speaker delivering crystal clear sound.,138,4.3
SPK0022,Audio Pro v8612,AudioMax,speaker,230.23,Speaker delivering crystal clear sound.,106,0.0
SPK0023,BoomBox v98641,SoundCo,speaker,297.96,Speaker delivering deep bass.,99,0.0
TV0024,Infinity TV v80259,CinemaCo,smart_tv,332.15,55 inch smart TV with smart connectivity.,70,3.8
SP0025,Fusion Phone v33418,TechCo,smartphone,277.59,Smartphone with long-lasting battery.,117,3.8
TV0026,SmartView TV v87069,Spectra,smart_tv,1600.02,65 inch smart TV with HDR support.,4,0.0
SP0027,SmartPhone Y v81235,RivalTech,smartphone,240.05,Smartphone with 5G connectivity.,196,0.0
SPK0028,ClearSound v97742,AudioMax,speaker,84.86,Speaker delivering crystal clear sound.,189,4.0
SPK0029,Audio Pro v6251,BeatBox,speaker,397.94,Speaker delivering crystal clear sound.,12,3.5
TV0030,SmartView TV v35273,UltraVision,smart_tv,936.99,40 inch smart TV with 4K resolution.,5,4.0
TV0031,SmartView TV v56003,CinemaCo,smart_tv,2251.73,40 inch smart TV with 4K resolution.,152,3.8
SP0032,SmartPhone Y v4248,RivalTech,smartphone,1059.94,Smartphone with long-lasting battery.,141,4.8
LP0033,Performance Pro v19550,UltraComp,laptop,1048.28,15.6 inch laptop featuring lightweight design.,60,0.0
SPK0034,BoomBox v30646,BeatBox,speaker,223.93,Speaker delivering crystal clear sound.,110,4.0
SP0035,Fusion Phone v49019,Futura,smartphone,1126.76,Smartphone with 5G connectivity.,79,0.0
SP0036,SmartPhone X v13705,TechCo,smartphone,730.16,Smartphone with 5G connectivity.,45,4.5
TV0037,SmartView TV v3881,ViewTech,smart_tv,310.41,65 inch smart TV with sleek design.,173,5.0
SPK0038,BoomBox v71859,BassLine,speaker,148.19,Speaker delivering wireless connectivity.,97,4.0
SP0039,Maxi Phone v89121,Futura,smartphone,794.08,Smartphone with vivid display.,138,3.7
SPK0040,ClearSound v80567,BeatBox,speaker,224.83,Speaker delivering deep bass.,130,0.0
LP0041,Pro Book v13954,UltraComp,laptop,853.25,17 inch laptop featuring lightweight design.,147,4.3
